Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,MacTA,MacHa,2,1,2012
1,HapKS,BeiYe,3,2,2012
1,HapHa,MacNa,0,0,2012
1,HapBS,BneSa,0,0,2012
1,MemAs,HapRS,2,0,2012
1,HapAc,BneTA,1,1,2012
1,HapRG,HapTA,0,1,2012
3,HapHa,MacTA,1,3,2012
3,HapKS,MacNa,0,1,2012
3,HapBS,MacHa,1,1,2012
3,MemAs,BeiYe,2,1,2012
3,HapAc,BneSa,5,1,2012
3,HapRG,HapRS,1,1,2012
3,HapTA,BneTA,2,0,2012
5,HapHa,HapKS,1,1,2012
5,HapBS,MacTA,3,1,2012
5,MemAs,MacNa,3,0,2012
5,HapAc,MacHa,0,0,2012
5,HapRG,BeiYe,2,2,2012
5,HapTA,BneSa,1,0,2012
5,BneTA,HapRS,2,2,2012
7,HapHa,HapBS,0,0,2012
7,MemAs,HapKS,2,0,2012
7,HapAc,MacTA,0,2,2012
7,HapRG,MacNa,1,1,2012
7,HapTA,MacHa,3,0,2012
7,BneTA,BeiYe,1,2,2012
7,HapRS,BneSa,1,3,2012
9,HapHa,MemAs,2,1,2012
9,HapAc,HapBS,2,2,2012
9,HapRG,HapKS,1,1,2012
9,HapTA,MacTA,1,0,2012
9,BneTA,MacNA,3,0,2012
9,HapRS,HapHa,1,1,2012
9,BneSa,BeiYe,1,1,2012
11,HapHa,HapAc,0,0,2012
11,HapRG,MemAs,0,1,2012
11,HapTA,HapBS,4,1,2012
11,BneTA,HapKS,0,2,2012
11,HapRS,MacTA,3,4,2012
11,BneSa,MacNa,0,0,2012
11,BeiYe,MacHa,1,2,2012
13,HapRG,HapHa,1,1,2012
13,HapTA,HapAc,0,0,2012
13,BneTA,MemAs,2,0,2012
13,HapRS,HapBS,0,1,2012
13,BneSa,HapKS,1,3,2012
13,BeiYe,MacTA,1,1,2012
13,MacHa,MacNa,1,0,2012
15,HapHa,HapTA,2,2,2012
15,HapRG,BneYe,1,0,2012
15,HapAc,HapRS,0,2,2012
15,MemAs,BneSa,1,2,2012
15,HapBS,BeiYe,0,0,2012
15,HapKS,MacHa,0,0,2012
15,MacTA,MacNa,2,1,2012
17,HapHa,BneTA,2,1,2012
17,HapTA,HapRS,1,0,2012
17,HapRG,BneSa,2,1,2012
17,HapAc,BeiYe,2,3,2012
17,MemAs,MacHa,1,4,2012
17,HapBS,MacNa,1,3,2012
17,HapKS,MacTA,0,0,2012
19,HapHa,HapRS,3,0,2012
19,BneTA,BneSa,0,0,2012
19,HapTA,BeiYe,0,2,2012
19,HapRG,MacHa,0,3,2012
19,HapAc,MacNa,4,4,2012
19,MemAs,MacTA,1,0,2012
19,HapBS,HapKS,1,0,2012
21,HapHa,BneSa,1,3,2012
21,HapRS,BeiYe,1,0,2012
21,BneTA,MacHa,2,0,2012
21,HapTA,MacNa,0,3,2012
21,HapRG,MacTA,0,1,2012
21,HapAc,HapKS,1,1,2012
21,MemAs,HapBS,0,1,2012
23,HapHa,BeiYe,3,0,2012
23,BneSa,MacHa,0,1,2012
23,HapRS,MacNa,0,0,2012
23,BneTA,MacTA,2,3,2012
23,HapTA,HapKS,1,1,2012
23,HapRG,HapBS,3,0,2012
23,HapAc,MemAs,3,1,2012
25,HapHa,HapHa,1,1,2012
25,BeiYe,MacNa,1,1,2012
25,BneSa,MacTA,0,3,2012
25,HapRS,HapKS,0,1,2012
25,BneSa,HapBS,1,0,2012
25,HapTA,MemAs,1,1,2012
25,HapRG,HapAc,1,2,2012
2,HapTA,HapHa,2,0,2012
2,BneSa,HapRG,1,0,2012
2,HapRS,HapAc,3,1,2012
2,BneSa,MemAs,1,3,2012
2,BeiYe,HapBS,1,1,2012
2,MacHa,HapKS,1,3,2012
2,MacNa,MacTA,0,1,2012
4,BneTA,HapHa,3,1,2012
4,HapRS,HapTA,1,0,2012
4,BneSa,HapRG,1,3,2012
4,BeiYe,HapAc,0,1,2012
4,MacHa,MemAs,0,1,2012
4,MacNa,HapBS,2,1,2012
4,MacTA,HapKS,4,0,2012
6,HapRS,HapHa,2,0,2012
6,BneSa,BneTA,2,2,2012
6,BeiYe,HapTA,3,2,2012
6,MacHa,HapRG,2,0,2012
6,MacNa,HapAc,1,3,2012
6,MacTA,MemAs,2,1,2012
6,HapKS,HapBS,1,1,2012
8,BneSa,HapHa,2,0,2012
8,BeiYe,HapRS,1,0,2012
8,MacHa,BneTA,1,1,2012
8,MacNa,HapTA,2,1,2012
8,MacTA,HapRG,3,1,2012
8,HapKS,HapAc,1,0,2012
8,HapBS,MemAs,0,0,2012
10,BeiYe,HapHa,3,0,2012
10,MacHa,BneSa,0,0,2012
10,MacNa,HapRS,1,2,2012
10,MacTA,BneTA,0,1,2012
10,HapKS,HapTA,0,1,2012
10,HapBS,HapRG,3,2,2012
10,MemAs,HapAc,2,0,2012
12,HapHa,MacHa,0,3,2012
12,MacNa,BeiYe,2,3,2012
12,MacTA,BneSa,4,0,2012
12,HapKS,HapRS,2,0,2012
12,HapBS,BneTA,1,0,2012
12,MemAs,HapTA,1,2,2012
12,HapAc,HapRG,0,3,2012
14,MacNa,HapHa,0,0,2012
14,MacHa,MacTA,1,0,2012
14,BeiYe,HapKS,2,2,2012
14,BneSa,HapBS,3,2,2012
14,HapRS,MemAs,1,0,2012
14,BneTA,HapAc,2,1,2012
14,HapTA,HapRG,2,2,2012
16,MacTA,HapHa,6,2,2012
16,MacNa,HapKS,3,4,2012
16,MacHa,HapBS,2,0,2012
16,BeiYe,MemAs,1,1,2012
16,BneSa,HapAc,2,1,2012
16,HapRS,HapRG,1,0,2012
16,BneTA,HapTA,2,1,2012
18,HapKS,HapHa,1,1,2012
18,MacTA,HapBS,5,0,2012
18,MacNa,MemAs,2,0,2012
18,MacHa,HapAc,3,1,2012
18,BeiYe,HapRG,3,2,2012
18,BneSa,HapTA,0,3,2012
18,HapRS,BneTA,2,1,2012
20,HapBS,HapHa,2,1,2012
20,HapKS,MemAs,0,0,2012
20,MacTA,HapAc,4,0,2012
20,MacNa,HapRG,1,1,2012
20,MacHa,HapTA,3,0,2012
20,BeiYe,BneTA,0,1,2012
20,BneTA,HapRS,0,4,2012
22,MemAs,HapHa,1,1,2012
22,HapBS,HapAc,0,0,2012
22,HapKS,HapRG,3,1,2012
22,MacTA,HapTA,4,0,2012
22,MacNa,BneTA,3,5,2012
22,MacHa,HapRS,4,0,2012
22,BeiYe,BneSa,2,2,2012
24,HapAc,HapHa,1,3,2012
24,MemAs,HapRG,2,3,2012
24,HapBS,HapTA,1,2,2012
24,HapKS,BneTA,2,0,2012
24,MacTA,HapRS,1,0,2012
24,MacNa,BneSa,0,0,2012
24,MacHa,BeiYe,4,1,2012
26,HapHa,HapRG,2,1,2012
26,HapAc,HapTA,0,0,2012
26,MemAs,BneYe,2,1,2012
26,HapBS,HapRS,0,1,2012
26,HapKS,BneSa,2,0,2012
26,MacNa,MacHa,1,2,2012
26,MacTA,BeiYe,5,0,2012
